year,month,source,n,yearmon
2021,AUG,Honduras,42125,2021-08-01
2021,AUG,Mexico,56397,2021-08-01
2021,AUG,Other,61518,2021-08-01
2021,DEC,El Salvador,3921,2021-12-01
2021,DEC,Guatemala,12454,2021-12-01
2021,DEC,Honduras,10358,2021-12-01
2021,DEC,Mexico,39370,2021-12-01
2021,DEC,Other,7891,2021-12-01
2021,FEB,El Salvador,5599,2021-02-01
2021,FEB,Guatemala,19154,2021-02-01
2021,FEB,Honduras,20180,2021-02-01
2021,FEB,Mexico,44257,2021-02-01
2021,FEB,Other,11909,2021-02-01
2021,JAN,El Salvador,3580,2021-01-01
2021,JAN,Guatemala,13137,2021-01-01
2021,JAN,Honduras,11232,2021-01-01
2021,JAN,Mexico,40793,2021-01-01
2021,JAN,Other,9672,2021-01-01
2021,JUL,El Salvador,12719,2021-07-01
2021,JUL,Guatemala,36468,2021-07-01
2021,JUL,Honduras,45297,2021-07-01
2021,JUL,Mexico,59959,2021-07-01
2021,JUL,Other,59150,2021-07-01
2021,JUN,El Salvador,11582,2021-06-01
2021,JUN,Guatemala,30246,2021-06-01
2021,JUN,Honduras,35033,2021-06-01
2021,JUN,Mexico,64908,2021-06-01
2021,JUN,Other,47265,2021-06-01
2021,MAR,El Salvador,9475,2021-03-01
2021,MAR,Guatemala,34060,2021-03-01
2021,MAR,Honduras,42116,2021-03-01
2021,MAR,Mexico,62504,2021-03-01
2021,MAR,Other,25122,2021-03-01
2021,MAY,El Salvador,10462,2021-05-01
2021,MAY,Guatemala,26452,2021-05-01
2021,MAY,Honduras,32131,2021-05-01
2021,MAY,Mexico,70874,2021-05-01
2021,MAY,Other,40678,2021-05-01
2021,NOV,El Salvador,3650,2021-11-01
2021,NOV,Guatemala,10323,2021-11-01
2021,NOV,Honduras,8199,2021-11-01
2021,NOV,Mexico,44164,2021-11-01
2021,NOV,Other,5777,2021-11-01
2021,OCT,El Salvador,3014,2021-10-01
2021,OCT,Guatemala,9292,2021-10-01
2021,OCT,Honduras,7370,2021-10-01
2021,OCT,Mexico,46786,2021-10-01
2021,OCT,Other,5467,2021-10-01
2021,SEP,El Salvador,10953,2021-09-01
2021,SEP,Guatemala,24288,2021-09-01
2021,SEP,Honduras,27078,2021-09-01
2021,SEP,Mexico,59985,2021-09-01
2021,SEP,Other,69697,2021-09-01
2022,APR,El Salvador,8355,2022-04-01
2022,APR,Guatemala,19910,2022-04-01
2022,APR,Honduras,15734,2022-04-01
2022,APR,Mexico,82568,2022-04-01
2022,APR,Other,109218,2022-04-01
2022,AUG,El Salvador,6675,2022-08-01
2022,AUG,Guatemala,15681,2022-08-01
2022,AUG,Honduras,16219,2022-08-01
2022,AUG,Mexico,60772,2022-08-01
2022,AUG,Other,104740,2022-08-01
2022,DEC,El Salvador,8874,2022-12-01
2022,DEC,Guatemala,21009,2022-12-01
2022,DEC,Honduras,18141,2022-12-01
2022,DEC,Mexico,51475,2022-12-01
2022,DEC,Other,79754,2022-12-01
2022,FEB,El Salvador,7146,2022-02-01
2022,FEB,Guatemala,18215,2022-02-01
2022,FEB,Honduras,14075,2022-02-01
2022,FEB,Mexico,71850,2022-02-01
2022,FEB,Other,54724,2022-02-01
2022,JAN,El Salvador,5810,2022-01-01
2022,JAN,Guatemala,13856,2022-01-01
2022,JAN,Honduras,12011,2022-01-01
2022,JAN,Mexico,60341,2022-01-01
2022,JAN,Other,62856,2022-01-01
2022,JUL,El Salvador,7952,2022-07-01
2022,JUL,Guatemala,20212,2022-07-01
2022,JUL,Honduras,20340,2022-07-01
2022,JUL,Mexico,55692,2022-07-01
2022,JUL,Other,95966,2022-07-01
2022,JUN,El Salvador,9123,2022-06-01
2022,JUN,Guatemala,24648,2022-06-01
2022,JUN,Honduras,24177,2022-06-01
2022,JUN,Mexico,66730,2022-06-01
2022,JUN,Other,83156,2022-06-01
2022,MAR,El Salvador,8403,2022-03-01
2022,MAR,Guatemala,21392,2022-03-01
2022,MAR,Honduras,16213,2022-03-01
2022,MAR,Mexico,88132,2022-03-01
2022,MAR,Other,88434,2022-03-01
2022,MAY,El Salvador,8980,2022-05-01
2022,MAY,Guatemala,21468,2022-05-01
2022,MAY,Honduras,19730,2022-05-01
2022,MAY,Mexico,77453,2022-05-01
2022,MAY,Other,113505,2022-05-01
2022,NOV,El Salvador,9664,2022-11-01
2022,NOV,Guatemala,20469,2022-11-01
2022,NOV,Honduras,20105,2022-11-01
2022,NOV,Mexico,63846,2022-11-01
2022,NOV,Other,60761,2022-11-01
2022,OCT,El Salvador,9801,2022-10-01
2022,OCT,Guatemala,19374,2022-10-01
2022,OCT,Honduras,21861,2022-10-01
2022,OCT,Mexico,66049,2022-10-01
2022,OCT,Other,47752,2022-10-01
2022,SEP,El Salvador,6247,2022-09-01
2022,SEP,Guatemala,15331,2022-09-01
2022,SEP,Honduras,14417,2022-09-01
2022,SEP,Mexico,63431,2022-09-01
2022,SEP,Other,128121,2022-09-01
